mangaid,plateifu,ewha_1re,classification,classification_in_1psf,classification_out_1psf,last_lier_re,sy_annulus_flag,baseline_radial_profile,log_sersic_mass,log_elpetro_mass,phi,nsa_sersic_absmag [FNugriz]
1-522789,8311-6103,0.7042015463732877,Lineless,Lineless,Lineless,,False,,10.798752130071676,10.672585472361941,164.248,[-15.2066 -15.857  -19.0709 -20.7582 -21.5587 -21.967  -22.2593]
1-568584,8311-6104,31.761333111747856,Sy,Sy,SF,,True,"[{""r"": 0.22122707, ""class"": ""Sy""}, {""r"": 0.44245414, ""class"": ""Sy""}, {""r"": 0.66368121, ""class"": ""SF""}, {""r"": 0.88490828, ""class"": ""SF""}, {""r"": 1.10613535, ""class"": ""SF""}, {""r"": 1.32736242, ""class"": ""SF""}, {""r"": 1.5485894900000001, ""class"": ""SF""}, {""r"": 1.7698165600000002, ""class"": ""SF""}, {""r"": 1.9910436300000003, ""class"": ""SF""}, {""r"": 2.2122707000000004, ""class"": ""Bad_SNR (Lineless)""}]",10.356536379154969,10.283633608193464,163.038,[-16.3912 -17.332  -18.7496 -19.9949 -20.6871 -21.042  -21.3203]
1-519271,8311-9101,38.73204201574804,SF,SF,Bad_SNR (Lineless),,False,"[{""r"": 0.23397598, ""class"": ""SF""}, {""r"": 0.46795196, ""class"": ""SF""}, {""r"": 0.70192794, ""class"": ""SF""}, {""r"": 0.93590392, ""class"": ""SF""}, {""r"": 1.1698799, ""class"": ""SF""}, {""r"": 1.40385588, ""class"": ""SF""}, {""r"": 1.6378318600000001, ""class"": ""SF""}, {""r"": 1.8718078400000002, ""class"": ""SF""}, {""r"": 2.10578382, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.3397598, ""class"": ""Bad_SNR (Lineless)""}]",9.456560359205065,9.632730538398578,39.9899,[-16.5589 -16.8726 -17.6087 -18.48   -18.9263 -19.1364 -19.1847]
1-522749,8311-9102,,Merger,Merger,Merger,,False,,11.246693034218326,11.024456932709121,63.666,[-15.3734 -16.6191 -20.134  -21.9565 -22.676  -23.1351 -23.2802]
1-210866,8312-12701,21.4716607923712,SF,SF,SF,,False,"[{""r"": 0.032828754, ""class"": ""SF""}, {""r"": 0.065657508, ""class"": ""SF""}, {""r"": 0.098486262, ""class"": ""SF""}, {""r"": 0.131315016, ""class"": ""SF""}, {""r"": 0.16414377000000002, ""class"": ""SF""}, {""r"": 0.19697252400000004, ""class"": ""SF""}, {""r"": 0.22980127800000005, ""class"": ""SF""}, {""r"": 0.26263003200000007, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 0.2954587860000001, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 0.3282875400000001, ""class"": ""Bad_SNR (Lineless)""}]",10.694892878561475,10.352978959028006,120.791,[-18.8876 -19.0924 -21.156  -21.1977 -21.7558 -22.2213 -22.476 ]
1-210923,8312-12702,19.839950712627,SF,SF,SF,,False,"[{""r"": 0.22358797, ""class"": ""SF""}, {""r"": 0.44717594, ""class"": ""SF""}, {""r"": 0.67076391, ""class"": ""SF""}, {""r"": 0.89435188, ""class"": ""SF""}, {""r"": 1.11793985, ""class"": ""SF""}, {""r"": 1.34152782, ""class"": ""SF""}, {""r"": 1.5651157900000001, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.7887037600000002, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.0122917300000003, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.2358797000000004, ""class"": ""Bad_SNR (Lineless)""}]",10.32216552161204,10.265233036573903,125.616,[-17.0659 -17.8565 -18.9179 -20.15   -20.7769 -21.0811 -21.3141]
1-211017,8312-12703,22.001499074125874,SF,SF,SF,,False,"[{""r"": 0.19689776, ""class"": ""SF""}, {""r"": 0.39379552, ""class"": ""SF""}, {""r"": 0.59069328, ""class"": ""SF""}, {""r"": 0.78759104, ""class"": ""SF""}, {""r"": 0.9844888, ""class"": ""SF""}, {""r"": 1.18138656, ""class"": ""SF""}, {""r"": 1.37828432, ""class"": ""SF""}, {""r"": 1.5751820799999998, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.7720798399999997, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.9689775999999997, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.16587536, ""class"": ""Bad_SNR (Lineless)""}]",10.408085559750434,10.441336871663927,104.153,[-17.4487 -18.3086 -19.4225 -20.5414 -21.1131 -21.3961 -21.6301]
1-633990,8312-12704,4.535239748417721,SF,SF,Bad_SNR (Lineless),,False,"[{""r"": 0.10439038, ""class"": ""SF""}, {""r"": 0.20878076, ""class"": ""SF""}, {""r"": 0.31317114, ""class"": ""SF""}, {""r"": 0.41756152, ""class"": ""SF""}, {""r"": 0.5219519, ""class"": ""SF""}, {""r"": 0.62634228, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 0.73073266, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 0.83512304, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 0.93951342, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.0439038, ""class"": ""Bad_SNR (Lineless)""}]",10.204027685271576,10.160267394499241,162.825,[-15.1224 -16.248  -18.1077 -19.5155 -20.2123 -20.5697 -20.828 ]
1-211023,8312-12705,2.467697958509091,eLIER,LIER,Bad_SNR (Lineless),0.48560151,False,"[{""r"": 0.16186717, ""class"": ""LIER""}, {""r"": 0.32373434, ""class"": ""LIER""}, {""r"": 0.48560151, ""class"": ""LIER""}, {""r"": 0.64746868, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 0.8093358500000001, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 0.9712030200000001, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.1330701900000002, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.2949373600000003, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.4568045300000003, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.6186717000000004, ""class"": ""Bad_SNR (Lineless)""}]",10.220466363976762,10.079145053332748,128.009,[-14.7842 -15.6483 -17.9387 -19.4363 -20.1789 -20.5341 -20.8294]
1-210846,8312-1901,3.362634787610619,eLIER,LIER,Bad_SNR (Lineless),0.8926483299999999,False,"[{""r"": 0.12752119, ""class"": ""LIER""}, {""r"": 0.25504238, ""class"": ""LIER""}, {""r"": 0.38256357, ""class"": ""LIER""}, {""r"": 0.51008476, ""class"": ""LIER""}, {""r"": 0.63760595, ""class"": ""LIER""}, {""r"": 0.7651271399999999, ""class"": ""LIER""}, {""r"": 0.8926483299999999, ""class"": ""LIER""}, {""r"": 1.0201695199999998, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.1476907099999998, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.2752118999999997, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.4027330899999997, ""class"": ""Bad_SNR (Lineless)""}]",9.648624410940563,9.374933385667628,124.047,[-13.1167 -14.4662 -16.8297 -18.2094 -18.8666 -19.1758 -19.3759]
